Iceberg,Year,Month,Length (NM),Width (NM),Latitude,Longitude
B29,2019.0,10.0,11.0,5.0,-74.53,-108.91636666666666
B29,2020.0,11.5,11.0,5.0,-74.50966666666667,-108.91566666666668
B29,2021.0,6.5,11.0,5.0,-74.49320833333333,-108.91295833333334
B29,2022.0,4.5,11.0,5.0,-74.19889583333334,-109.59522916666667
B37,2019.0,10.0,8.0,3.0,-72.9867,-109.5042
B37,2020.0,11.5,8.0,3.0,-72.69966666666667,-111.387
B37,2021.0,4.5,8.0,3.0,-72.48566666666666,-112.32724999999999
B38,2019.0,10.0,6.0,4.0,-76.99,-155.08
B38,2020.0,11.5,6.0,4.0,-76.998,-155.025
B38,2021.0,6.5,6.0,4.0,-77.00279166666667,-155.04575
B38,2022.0,4.5,6.0,4.0,-76.99677083333333,-155.0821875
B39,2019.0,10.0,8.0,4.0,-66.11959999999999,82.26289999999999
B39,2020.0,11.5,8.0,4.0,-65.591,55.48166666666667
B39,2021.0,6.5,8.0,4.0,-69.9085,11.76251388888889
B39,2022.0,4.5,8.0,4.0,-76.44702083333334,-32.4870625
B40,2019.0,10.0,8.0,5.0,-65.6366,132.1851
B40,2020.0,11.5,7.4,5.0,-65.628,132.19299999999998
B40,2021.0,6.5,6.0,5.0,-65.62575,132.16108333333332
B40,2022.0,2.0,5.916666666666667,5.0,-65.53583333333333,130.85999999999999
B42,2019.0,10.0,13.0,4.133333333333334,-73.04316666666668,-125.71633333333334
B42,2020.0,11.5,12.7,4.0,-72.949,-126.589
B42,2021.0,6.5,12.0,4.0,-73.35501388888889,-138.6784722222222
B42,2022.0,4.5,10.9,3.725,-68.72635416666667,-149.1613125
B43,2019.0,10.0,10.0,5.0,-73.60323333333334,-170.77190000000002
B45,2019.0,10.0,8.0,6.0,-74.7,-109.37
B45,2020.0,11.5,7.7,6.0,-74.69,-109.342
B45,2021.0,6.5,7.0,6.0,-74.67925000000001,-109.331
B45,2022.0,4.5,7.0,6.0,-74.5205625,-109.5734375
B46,2019.0,10.0,10.0,4.0,-74.37989999999999,-105.2275
B46,2020.0,11.5,10.0,4.0,-73.06233333333333,-108.05533333333332
B46,2021.0,6.5,10.0,4.0,-72.24736111111112,-119.79148611111111
B46,2022.0,4.5,10.0,4.0,-72.8786875,-138.14016666666666
B47,2019.0,10.5,19.0,5.0,-74.11175,-131.02
B47,2020.0,11.5,16.9,5.0,-73.79566666666668,-133.83066666666667
B47,2021.0,6.5,12.0,5.0,-73.81470833333333,-133.81068055555556
B47,2022.0,4.5,12.0,5.0,-73.863375,-134.1404375
B50,2020.0,11.5,15.0,6.0,-73.76366666666667,-134.47666666666666
B50,2021.0,6.5,15.0,6.0,-73.22061111111111,-154.27106944444444
B50,2022.0,4.5,13.7,5.0,-65.1580625,-163.99339583333332
C15,2019.0,10.0,14.0,10.0,-66.08,143.41
C15,2020.0,11.5,13.4,9.4,-65.984,143.3
C15,2021.0,6.5,12.0,8.0,-65.970125,143.27770833333332
C15,2022.0,4.5,12.0,8.0,-65.95683333333334,143.26206249999998
C18B,2019.0,10.0,20.0,4.0,-65.46,113.87
C18B,2020.0,11.5,19.7,4.0,-64.72866666666667,99.864
C18B,2021.0,6.5,19.0,4.0,-66.09504166666666,91.456375
C18B,2022.0,4.5,19.0,4.0,-66.577,89.45700000000001
C21B,2019.0,10.0,12.0,8.0,-64.99,95.86
C21B,2020.0,11.5,11.7,8.0,-64.99,95.86
C21B,2021.0,6.5,11.0,8.0,-64.981875,95.85187499999999
C21B,2022.0,4.5,11.0,8.0,-64.98302083333334,95.85479166666667
C24,2019.0,10.0,11.0,3.0,-64.84,96.02770000000001
C24,2020.0,11.5,11.0,2.7,-64.84,96.02
C24,2021.0,6.5,11.0,2.0,-64.84,96.02
C24,2022.0,4.5,11.0,2.0,-64.84,96.0235
C29,2019.0,10.0,5.0,5.0,-66.1,142.84
C29,2020.0,11.5,5.0,5.0,-66.112,142.946
C29,2021.0,6.5,5.0,5.0,-66.09333333333333,142.88395833333334
C29,2022.0,4.5,5.0,5.0,-66.060625,142.79020833333334
C30,2019.0,10.0,9.0,3.0,-64.78,96.3
C30,2020.0,11.5,9.0,3.0,-64.78,96.3
C30,2021.0,6.5,9.0,3.0,-64.78,96.3
C30,2022.0,4.5,9.0,3.0,-64.78,96.28979166666667
C31,2019.0,10.0,9.0,3.0,-64.69,96.52
C31,2020.0,11.5,9.0,3.0,-64.69,96.51
C31,2021.0,6.5,9.0,3.0,-64.681875,96.51
C31,2022.0,4.5,9.0,3.0,-64.68302083333333,96.50697916666667
C33,2019.0,10.0,8.0,4.0,-66.38,144.37
C33,2020.0,11.5,8.0,4.0,-65.317,129.548
C33,2021.0,6.5,8.0,4.0,-65.40445833333334,126.76616666666666
C33,2022.0,4.5,8.0,4.0,-65.3466875,126.566375
C34,2019.0,10.0,11.0,5.0,-64.85979999999999,127.4847
C35,2019.0,10.0,12.0,5.0,-68.24,148.21
C35,2020.0,11.5,7.0,5.0,-68.229,148.15300000000002
C35,2021.0,6.5,7.0,5.0,-67.52918055555556,147.92341666666667
C35,2022.0,4.5,7.0,5.0,-67.32575,147.89179166666668
C36,2019.0,10.0,23.0,16.0,-68.11,147.84
C36,2020.0,11.5,22.7,15.7,-68.097,147.84699999999998
C36,2021.0,6.5,22.0,15.0,-67.94,147.49270833333333
C36,2022.0,4.5,22.0,15.0,-67.930625,147.48679166666668
C37,2022.0,5.5,8.0,3.0,-65.27333333333333,101.18933333333332
C38,2022.0,3.0,16.0,10.0,-65.66,102.76
C38A,2022.0,5.5,10.0,8.0,-65.20688888888888,101.50866666666667
C38B,2022.0,5.5,6.8999999999999995,7.0,-64.98477777777778,101.76233333333334
C39,2022.0,6.0,15.0,8.0,-65.67920000000001,99.5638
D15A,2019.0,10.0,51.0,24.0,-66.64363333333333,81.91363333333334
D15A,2020.0,11.5,51.0,24.0,-66.64266666666667,81.91266666666667
D15A,2021.0,6.5,51.0,24.0,-66.640625,81.912125
D15A,2022.0,4.5,51.0,24.0,-66.62875,81.92191666666666
D15B,2019.0,10.0,33.0,12.0,-66.99,81.565
D15B,2020.0,11.5,33.0,12.0,-66.99,81.57
D15B,2021.0,6.5,33.0,12.0,-66.98916666666666,81.57854166666667
D15B,2022.0,4.5,33.0,12.0,-66.97375,81.57883333333334
D20A,2019.0,10.0,20.0,9.0,-68.83126666666666,36.291266666666665
D20A,2020.0,11.5,19.7,9.0,-68.65333333333334,36.26
D20A,2021.0,6.5,19.0,9.0,-68.64091666666667,34.431666666666665
D20A,2022.0,4.5,16.1875,6.03125,-70.82758333333334,3.9673541666666665
D21B,2019.0,10.0,11.0,4.0,-76.1668,-39.29043333333333
D21B,2020.0,11.5,10.7,4.0,-62.69066666666666,-37.376000000000005
D21B,2021.0,2.5,9.5,4.0,-60.086,-30.60575
D22,2019.0,9.5,11.0,2.0,-66.723375,76.28141666666667
D22*,2019.0,12.0,6.0,2.0,-67.09,67.15
D23,2019.0,10.0,8.0,6.0,-69.43,74.67
D23,2020.0,11.5,8.0,6.0,-69.43,74.66666666666666
D23,2021.0,6.5,8.0,6.0,-69.43,74.6725
D23,2022.0,4.5,8.0,6.0,-69.43,74.68241666666667
D26,2019.0,10.0,19.0,2.0,-69.38796666666667,29.35676666666667
D26,2020.0,11.5,19.0,2.0,-69.38933333333334,29.343
D26,2021.0,6.5,19.0,2.0,-69.3645,29.391000000000002
D26,2022.0,4.5,16.75,2.0,-69.27470833333334,29.50675
D27,2019.0,10.0,8.0,5.0,-67.27,81.87
D27,2020.0,11.5,8.0,5.0,-67.65633333333334,78.86366666666667
D27,2021.0,6.5,8.0,5.0,-67.52769444444445,54.39429166666667
D27,2022.0,4.5,7.25,4.25,-68.37608333333333,14.940104166666666
D28,2019.0,10.5,29.0,19.0,-68.318375,71.359125
D28,2020.0,11.5,29.0,19.0,-65.40100000000001,54.919
D28,2021.0,6.5,29.0,19.0,-69.173625,15.910444444444444
D28,2022.0,4.5,29.0,19.0,-74.04510416666666,-34.158375
D29A,2021.0,9.0,15.0,9.0,-70.9649761904762,-3.680500000000001
D29A,2022.0,4.5,15.0,9.0,-71.88008333333333,-34.86022916666667
D29B,2021.0,9.0,13.0,7.0,-70.05657142857142,2.2681190476190474
D29B,2022.0,4.5,13.0,7.0,-73.56935416666667,-30.389083333333332
D29C,2021.0,9.0,13.0,6.0,-70.88033333333333,-4.72152380952381
D29C,2022.0,4.5,13.0,6.0,-72.4474375,-34.673791666666666
D30A,2021.0,9.0,37.09523809523809,11.0,-71.65745238095238,-10.35759523809524
D30A,2022.0,4.5,37.0,11.0,-73.77602083333333,-37.9675
D30B,2021.0,9.0,10.238095238095239,5.0,-70.66569047619048,-3.459309523809524
D30B,2022.0,4.5,10.0,5.0,-73.554625,-34.412395833333335
D31,2022.0,4.5,12.55,2.0,-72.06647916666667,-19.225395833333334
